AcresBurned,RunSumAcresBurned,ArchiveYear,Counties,Started,Extinguished,Fatalities,Injuries,Latitude,Longitude,Location,MajorIncident,Name,PersonnelInvolved,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
0,0,2013,,2013-01-01,2013-01-01,0,,,,,,,,,Unknown,,,
296,296,2013,Lake,2013-01-22,2013-01-23,Unknown,,0,0,"North of Highway 29, southeast of Kelseyville",FALSE,Becks Fire,,,Unknown,,,
406,702,2013,Inyo,2013-02-24,2013-02-28,Unknown,2,36.602575,-118.01651,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",TRUE,River Fire,476,,0,,0,25
311,1013,2013,Riverside,2013-02-28,2013-03-02,Unknown,,0,0,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",FALSE,Jurupa Fire,,,Unknown,,,
80,1093,2013,Fresno,2013-04-09,2013-04-09,Unknown,,0,0,Butte Ave near Conejo Ave near the community of Helm.,FALSE,Butte Fire,,,Unknown,,,
30,1123,2013,San Bernardino,2013-04-20,2013-04-22,Unknown,,34.288877,-116.941311,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",FALSE,Fawnskin Fire,,,Unknown,,,
274,1397,2013,Madera,2013-04-30,2013-05-01,Unknown,,37.116295,-119.635004,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,FALSE,Gold Fire,,,Unknown,,,
75,1472,2013,Napa,2013-04-30,2013-05-01,Unknown,,38.441792,-122.350844,"7300 block of Silverado Trail, north of Napa",FALSE,Silverado Fire,,,Unknown,,,
125,1597,2013,Sonoma,2013-05-01,2013-05-03,Unknown,,38.638828,-122.655616,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",TRUE,Yellow Fire,249,,Unknown,,,5
72,1669,2013,Butte,2013-05-01,2013-05-04,Unknown,,0,0,"Off Cedar Creek Loop Rd, South of Butte Meadows",TRUE,Cedar Fire,44,,Unknown,,,
6965,8634,2013,Tehama,2013-05-01,2013-05-09,Unknown,6,40.190062,-121.595555,"140K3 Line, 8 miles northwest of Butte Meadows",TRUE,Panther Fire,1811,,Unknown,,,40
